"time","wallTime","wc2.P.x [m]","wc2.P.v [m/s]","wc2.P.F [N]","wc1.P.x [m]","wc1.P.v [m/s]","wc1.P.F [N]"
0.0275,4.6723,0,0,0,0,0,0
0.0276,4.67234,0,0,0,0,0,0
0.0277,4.67235,0,0,0,0,0,0
0.0278,4.67236,0,0,0,0,0,0
0.0279,4.67238,0,0,0,0,0,0
0.028,4.67239,0,0,0,0,0,0
0.0281,4.67244,0,0,0,0,0,0
0.0282,4.67245,0,0,0,0,0,0
0.0283,4.67246,0,0,0,0,0,0
0.0284,4.67248,0,0,0,0,0,0
0.0285,4.67249,0,0,0,0,0,0
0.0286,4.67253,0,0,0,0,0,0
0.0287,4.67254,0,0,0,0,0,0
0.0288,4.67256,0,0,0,0,0,0
0.0289,4.67257,0,0,0,0,0,0
0.029,4.67258,0,0,0,0,0,0
0.0291,4.67263,0,0,0,0,0,0
0.0292,4.67264,0,0,0,0,0,0
0.0293,4.67265,0,0,0,0,0,0
0.0294,4.67266,0,0,0,0,0,0
0.0295,4.67267,0,0,0,0,0,0
0.0296,4.67272,0,0,0,0,0,0
0.0297,4.67273,0,0,0,0,0,0
0.0298,4.67275,0,0,0,0,0,0
0.0299,4.67276,0,0,0,0,0,0
0.03,4.67277,0,0,0,0,0,0
0.0301,4.67284,0,0,0,0,0,0
0.0302,4.67286,0,0,0,0,0,0
0.0303,4.67287,0,0,0,0,0,0
0.0304,4.67288,0,0,0,0,0,0
0.0305,4.67289,0,0,0,0,0,0
0.0306,4.67295,0,0,0,0,0,0
0.0307,4.67296,0,0,0,0,0,0
0.0308,4.67297,0,0,0,0,0,0
0.0309,4.67299,0,0,0,0,0,0
0.031,4.673,0,0,0,0,0,0
0.0311,4.67304,0,0,0,0,0,0
0.0312,4.67305,0,0,0,0,0,0
0.0313,4.67308,0,0,0,0,0,0
0.0314,4.6731,0,0,0,0,0,0
0.0315,4.67312,0,0,0,0,0,0
0.0316,4.67317,0,0,0,0,0,0
0.0317,4.67318,0,0,0,0,0,0
0.0318,4.67319,0,0,0,0,0,0
0.0319,4.67321,0,0,0,0,0,0
0.032,4.67322,0,0,0,0,0,0
0.0321,4.67326,0,0,0,0,0,0
0.0322,4.67327,0,0,0,0,0,0
0.0323,4.67328,0,0,0,0,0,0
0.0324,4.67329,0,0,0,0,0,0
0.0325,4.67331,0,0,0,0,0,0
0.0326,4.67335,0,0,0,0,0,0
0.0327,4.67337,0,0,0,0,0,0
0.0328,4.67339,0,0,0,0,0,0
0.0329,4.67341,0,0,0,0,0,0
0.033,4.67342,0,0,0,0,0,0
0.0331,4.67348,0,0,0,0,0,0
0.0332,4.67349,0,0,0,0,0,0
0.0333,4.67351,0,0,0,0,0,0
0.0334,4.67353,0,0,0,0,0,0
0.0335,4.67354,0,0,0,0,0,0
0.0336,4.67359,0,0,0,0,0,0
0.0337,4.67361,0,0,0,0,0,0
0.0338,4.67363,0,0,0,0,0,0
0.0339,4.67365,0,0,0,0,0,0
0.034,4.67366,0,0,0,0,0,0
0.0341,4.67371,0,0,0,0,0,0
0.0342,4.67373,0,0,0,0,0,0
0.0343,4.67375,0,0,0,0,0,0
0.0344,4.67377,0,0,0,0,0,0
0.0345,4.67378,0,0,0,0,0,0
0.0346,4.67384,0,0,0,0,0,0
0.0347,4.67386,0,0,0,0,0,0
0.0348,4.67387,0,0,0,0,0,0
