"time","wallTime","wc2.out","wc1.out"
0.0643,1.61518,1.0427,0.734658
0.0644,1.61519,1.04511,0.73562
0.0645,1.61519,1.04752,0.736582
0.0646,1.61519,1.04992,0.737544
0.0647,1.61519,1.05233,0.738506
0.0648,1.61519,1.05473,0.739467
0.0649,1.61519,1.05714,0.740429
0.065,1.61519,1.05955,0.741391
0.0651,1.61519,1.06185,0.742282
0.0652,1.61519,1.06415,0.743173
0.0653,1.6152,1.06645,0.744064
0.0654,1.6152,1.06875,0.744955
0.0655,1.6152,1.07105,0.745847
0.0656,1.6152,1.07335,0.746738
0.0657,1.6152,1.07565,0.747629
0.0658,1.6152,1.07795,0.74852
0.0659,1.6152,1.08025,0.749411
0.066,1.6152,1.08255,0.750302
0.0661,1.6152,1.08485,0.751193
0.0662,1.6152,1.08715,0.752085
0.0663,1.6152,1.08945,0.752976
0.0664,1.6152,1.09175,0.753867
0.0665,1.6152,1.09405,0.754758
0.0666,1.6152,1.09635,0.755649
0.0667,1.6152,1.09865,0.75654
0.0668,1.61521,1.10095,0.757431
0.0669,1.61521,1.10325,0.758322
0.067,1.61521,1.10555,0.759214
0.0671,1.61521,1.10785,0.760105
